age,sex,category,population
56,F,verwitwet,30
57,F,ledig,78
57,F,verheiratet,459
57,F,geschieden,120
57,F,verwitwet,34
58,F,ledig,70
58,F,verheiratet,445
58,F,geschieden,116
58,F,verwitwet,38
59,F,ledig,65
59,F,verheiratet,441
59,F,geschieden,111
59,F,verwitwet,43
60,F,ledig,58
60,F,verheiratet,426
60,F,geschieden,104
60,F,verwitwet,48
61,F,ledig,53
61,F,verheiratet,413
61,F,geschieden,99
61,F,verwitwet,52
62,F,ledig,47
62,F,verheiratet,389
62,F,geschieden,89
62,F,verwitwet,55
63,F,ledig,43
63,F,verheiratet,378
63,F,geschieden,85
63,F,verwitwet,60
64,F,ledig,40
64,F,verheiratet,366
64,F,geschieden,80
64,F,verwitwet,65
65,F,ledig,36
65,F,verheiratet,352
65,F,geschieden,76
65,F,verwitwet,71
66,F,ledig,33
66,F,verheiratet,343
66,F,geschieden,73
66,F,verwitwet,76
67,F,ledig,30
67,F,verheiratet,329
67,F,geschieden,69
67,F,verwitwet,81
68,F,ledig,28
68,F,verheiratet,322
68,F,geschieden,67
68,F,verwitwet,88
69,F,ledig,25
69,F,verheiratet,309
69,F,geschieden,64
69,F,verwitwet,94
70,F,ledig,23
70,F,verheiratet,302
70,F,geschieden,61
70,F,verwitwet,103
71,F,ledig,20
71,F,verheiratet,284
71,F,geschieden,56
71,F,verwitwet,107
72,F,ledig,17
72,F,verheiratet,250
72,F,geschieden,49
72,F,verwitwet,105
73,F,ledig,15
73,F,verheiratet,228
73,F,geschieden,45
73,F,verwitwet,107
74,F,ledig,12
74,F,verheiratet,191
74,F,geschieden,38
74,F,verwitwet,99
75,F,ledig,11
75,F,verheiratet,162
75,F,geschieden,33
75,F,verwitwet,94
76,F,ledig,14
76,F,verheiratet,208
76,F,geschieden,41
76,F,verwitwet,131
77,F,ledig,14
77,F,verheiratet,201
77,F,geschieden,40
77,F,verwitwet,139
78,F,ledig,14
78,F,verheiratet,183
78,F,geschieden,37
78,F,verwitwet,144
79,F,ledig,16
79,F,verheiratet,209
79,F,geschieden,41
79,F,verwitwet,186
80,F,ledig,16
80,F,verheiratet,199
80,F,geschieden,40
80,F,verwitwet,211
81,F,ledig,16
81,F,verheiratet,179
81,F,geschieden,36
81,F,verwitwet,216
82,F,ledig,15
82,F,verheiratet,146
82,F,geschieden,31
82,F,verwitwet,210
83,F,ledig,14
83,F,verheiratet,117
83,F,geschieden,26
83,F,verwitwet,200
84,F,ledig,13
84,F,verheiratet,95
84,F,geschieden,22
84,F,verwitwet,197
